UUID,Domain,Parent Domain,Rating,Score,Last Updated,Country,Language,Does not repeatedly publish false or egregiously misleading content,Gathers and presents information responsibly,Has effective practices for correcting errors,Handles the difference between news and opinion responsibly,Avoids deceptive headlines,Website discloses ownership and financing,Clearly labels advertising,"Reveals who's in charge, including any possible conflicts of interest","The site provides names of content creators, along with either contact or biographical information",Brand Name,Topics,Type of Content,Original Reporting,Medium,Print Publications,Targeted Audience,Designated Market Area,Opinion/Advocacy Journalism,Orientation,Owner,Type of Owner,Flags,Facebook,Twitter,Youtube,Instagram,LinkedIn,iOS App,Android App,Other,False Narratives,Communities Served,BrandGuard Segments
06f9e72e-e643-4a7e-bc07-b6b8197e44c2,thelibertyloft.com,,N,17.5,1.70596E+12,US,en,No,No,No,Yes,No,No,No,No,Yes,,Political news or commentary,,Yes,,,National,,Yes,Right,Mustard Seed Media LLC,Private Company,"covid,hlth,ukraine,elec,vacc,politics",https://www.facebook.com/thelibertyloft,https://twitter.com/thelibertyloft,https://www.youtube.com/channel/UCyj_NkBUMYO0lUS4GMFnfSg,https://www.instagram.com/reallibertyloft,,,,"https://t.me/thelibertyloft,https://www.pinterest.com/reallibertyloft ","9c3d8e76-3e86-48ca-91b6-10b328e2d929,eabc6438-57c0-4f8c-ba9b-d46044e29290,bc585342-80bf-4538-99ff-2a04fe444628,a4ab384c-8e28-4e6f-ba25-b777ec94b8b7,549b7a87-ec41-456b-8ca6-03a0a530867a,dc0c07f4-9477-47a8-bcf8-816526c38f8d,e6c2242a-d8ee-4a33-bfe1-a0d9438a11a0,a797cacc-bbbb-49c3-8228-8e1d7f9faac1,a5bcc818-00cd-47a9-8537-744392fcffc5,c059de49-4624-4322-97e7-4d98f28a3619,9195b6c7-110f-41c9-b930-5270e442ac96,76b7b2f8-0487-45cc-82ff-2d2146e9cb8d,2d6ff0bb-1a65-4f22-b741-eb6f1ffcb757,1d1379e4-62d3-499a-8374-6df39b994fb5,02c77ce9-68c4-46f5-b8ed-37a12867c642,41484420-d2d8-4507-80b1-c454baa3b1d5,df239ca2-2b5f-4ea2-9ae1-8f5a38a1040d",,"Exclusion - Maximum Safety,Exclusion - High Safety,Exclusion - Basic Safety"
aee3c6bf-cb27-4e60-9ce6-844bf45be150,pacificpundit.com,,N,0,1.70596E+12,US,en,No,No,No,No,No,No,No,No,No,,"Conspiracy theories or hoaxes,Political news or commentary",Aggregation,No,N/A,,National,,Yes,Right,Dave Klassix,Individual,"elec,covid,hlth,ukraine,israelhamas,politics","https://www.facebook.com/pacificpundit,https://www.facebook.com/watchbiden/",https://twitter.com/demcommies,,https://www.instagram.com/demcommies/,,,,,"d161666e-523f-4b93-a6f9-2cc07e6fb95c,bf156648-b4dd-4e2b-bd03-dfc17f51fdfe,c25d4b41-eae1-439f-af36-521bd50b8a73,39ed3ae8-accc-4782-9a8a-e63dd3220ae9,e1149355-ace6-4247-8431-44a1170b2da8,6423ca46-c91a-44bf-b0cc-f60471774d27,fa80fd75-3268-4503-8f59-ea0169ac0ad8,b6ba4332-41bb-412a-8e02-1b5155e7eaba,78e2c100-15dd-4a57-bc30-debdc061f332,853a6f1e-cd6b-4602-9005-da77309bfa24,02c77ce9-68c4-46f5-b8ed-37a12867c642,5dbd3626-8841-4537-8a7e-189dddfb6433,60d00aa2-c2cd-43d7-a2f3-8b0d7f33ea74,280c853f-21be-4f4d-8b85-f551f6e2266f,156a28bc-7cc4-46c0-8eff-c0b9e260b548,5e06daef-c43b-466e-bfdb-ebaa299d694d,02779ae3-fb4a-4e64-bdd7-70519d92ca23",,"Exclusion - Maximum Safety,Exclusion - High Safety,Exclusion - Basic Safety"
ad84acc1-a135-40e8-9fbd-f3ae2d07ef87,sonsoflibertymedia.com,,N,10,1.70596E+12,US,en,No,No,No,No,No,No,No,Yes,Yes,,"Political news or commentary,Conspiracy theories or hoaxes","Aggregation,Wire Services",Yes,N/A,,National,,Yes,Right,The Sons Of Liberty,Nonprofit,"covid,hlth,elec,vacc,politics",https://www.facebook.com/bradlee.dean.7/,https://twitter.com/bradleedean1,https://www.youtube.com/channel/UC4JVsGzaoblCo1t1-lgrGcA,,,,,,"0ea16772-c048-41f9-b222-71b053f42ac8,40cb6d3e-dcf3-4878-9ef4-ddc5547ca309,af4677f8-4b3a-4ead-8e65-49fe164ecd24,669d49cb-7f4d-4910-b3d2-bf8213fe6e0d,87005788-e979-4d14-9787-0e3b981e1877,9a05ebc6-1d54-4993-87ed-279e9ebc8f8c,667c0df3-ab3e-4880-b8fc-92e0f35eef32,32a30b9b-bb5c-448a-b5ab-c07c0b88ec05,05bb7e12-5e9f-49af-80dd-4f2150ffb050,345068c4-a582-4b2d-83e0-aba88b4800eb,d963e2c3-2a4f-416f-b18c-9b9e125a25c0,aab5914f-6fde-4949-895b-8ccec2248941,949c1979-817e-45c0-ad65-845336a66396,02c77ce9-68c4-46f5-b8ed-37a12867c642,f5a53342-6242-43df-9f34-34e2dfc6eaae,3e195896-14be-48fb-94f0-974e64d8e5fb,b09b27e1-7359-4209-a1e8-e792bb326d72,a0189328-10b4-41e2-b1b3-e57740239423,8a96b047-6637-4846-8d9d-411fd1791b23,a593401e-42f1-4c56-8c7c-29bb42a04485",,"Exclusion - Maximum Safety,Exclusion - High Safety,Exclusion - Basic Safety"
8d89ab59-1bd6-436f-9454-182547769267,c-span.org,,T,82.5,1.70724E+12,US,en,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,,Political news or commentary,,Yes,Cable/TV Network,,"National,International",,No,N/A,National Cable Satellite Corporation,Nonprofit,,https://www.facebook.com/CSPAN/,https://twitter.com/cspan,https://www.youtube.com/channel/UCb--64Gl51jIEVE-GLDAVTg,https://www.instagram.com/cspan,https://www.linkedin.com/company/c-span/,,,https://www.pinterest.com/cspannetworks/,"f0ae2f18-1523-4e5c-a954-b32fe34d058e,9a4f89a8-58cf-4d80-807b-d8c05b5650b4",,"Inclusion - Maximum Safety,Inclusion - High Safety,Inclusion - Basic Safety"
e41f66ae-5067-45f6-a97c-d4dbb690205c,20minutes.fr,,T,100,1.71828E+12,ALL,en,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,20 Minutes,"General News,Local News","Aggregation,Wire Services",Yes,Print Publication,Newspaper,"National,Local,Regional",,No,N/A,Le groupe SIPA-Ouest-France,Private Company,,https://www.facebook.com/20minutes,https://twitter.com/20Minutes,"https://www.youtube.com/c/20minutesfr,https://www.youtube.com/channel/UCD25QI36ly-8hWm9OPOz7aw",https://www.instagram.com/20minutesfrance/,https://www.linkedin.com/company/20-minutes,https://apps.apple.com/fr/app/20-minutes-news-en-continu/id308834491,https://play.google.com/store/apps/details?id=com.backelite.vingtminutes,"https://flipboard.com/@20Minutes,https://www.dailymotion.com/20Minutes",,,"Inclusion - Maximum Safety,Inclusion - High Safety,Inclusion - Basic Safety"
19ac495b-938c-43d8-ba05-7cf713520413,meinbezirk.at,,T,95,1.70782E+12,AT,de,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,MeinBezirk,Local News,,Yes,Print Publication,Newspaper,"Local,Regional",,No,N/A,RegionalMedien Austria AG,Private Company,,https://www.facebook.com/rma.meinbezirk,https://twitter.com/meinbezirk_at,https://www.youtube.com/channel/UCkU5xXRmxcfjSO5pNiCASbQ,https://www.instagram.com/meinbezirk.at/,https://www.linkedin.com/company/regionalmedien-austria-ag/,https://apps.apple.com/at/app/meinbezirk-at-espresso/id1504083044,https://play.google.com/store/apps/details?id=at.rma.inspi.news&hl=de&gl=US,,,,"Inclusion - Maximum Safety,Inclusion - High Safety,Inclusion - Basic Safety"
f9a9bc30-a4e7-4163-9fd8-662b86fe547f,leparisien.fr,,T,85,1.70593E+12,ALL,en,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Le Parisien,"General News,Local News","Aggregation,Wire Services",Yes,Print Publication,Newspaper,"Regional,Local",,No,N/A,LVMH,Public Company,,https://www.facebook.com/leparisien,https://twitter.com/le_Parisien,https://www.youtube.com/c/LeParisien,https://www.instagram.com/leparisien/,,https://apps.apple.com/fr/app/le-parisien-actu-en-continu/id373948394,https://play.google.com/store/apps/details?id=com.kreactive.leparisienrssplayer,"https://www.pinterest.fr/leparisienfr/,https://www.snapchat.com/add/leparisienfr",ad1bd5ee-5ea9-4668-9114-a82d839fb777,,"Inclusion - Maximum Safety,Inclusion - High Safety,Inclusion - Basic Safety"
8a1ddc30-e0ab-4376-8ac0-2a42670dbb20,portstephensexaminer.com.au,,T,80,1.70591E+12,AU,en,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Port Stephens Examiner,"General News,Local News",Wire Services,Yes,Print Publication,Newspaper,"Regional,Local",,No,N/A,Australian Community Media,Private Company,,https://www.facebook.com/portstephens.examiner/,https://twitter.com/PortExaminer,,https://www.instagram.com/psexaminer/?hl=en,,,,,,,"Inclusion - Maximum Safety,Inclusion - High Safety,Inclusion - Basic Safety"
0247a2b2-488e-4fc4-9504-7cef71d70b0d,funmisdiary.com,,FL,,1.70565E+12,US,en,,,,,,,,,,,Celebrity news,,,,,,,,,Unknown,Unknown,uain,,,,,,,,,,,
9c2e1674-af78-4c38-85eb-22874221aa04,tes.com,,T,75,1.70562E+12,GB,en,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Tes,Education,,Yes,Print Publication,Magazine,"National,International",,Yes,N/A,Onex Corp.,Public Company,,https://www.facebook.com/TESnews,https://www.twitter.com/tes,https://www.youtube.com/channel/UC-gOKwgu5_g9Pm1YBMb5G_A,https://www.instagram.com/tesnews,https://www.linkedin.com/company/tesglobal,,,https://www.pinterest.com.au/Tes_Global,,,"Inclusion - High Safety,Inclusion - Basic Safety,Exclusion - Maximum Safety"
